index,X,Y,OBJECTID,ID,name,address,city,state,zip,ZIP4,TELEPHONE,type,status,population,county,COUNTYFIPS,COUNTRY,latitude,longitude,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,owner,TTL_STAFF,beds,TRAUMA,helipad
3421,-13835732.5684178,5169652.51704616,3512,5997415,SUTTER COAST HOSPITAL,"555 5TH STREET, SUITE 2",BROOKINGS,OR,97415,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,-999,CURRY,41015,USA,42.057873215,-124.288500332,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/02/12 00:00:00+00,www.suttercoast.org/‎,14-1463,NOT AVAILABLE,41,NON-PROFIT,-999,-999,LEVEL IV,N
4324,-13397535.7366832,5188175.31048969,4462,1697630,LAKE DISTRICT HOSPITAL,700 SOUTH J STREET,LAKEVIEW,OR,97630,NOT AVAILABLE,NOT AVAILABLE,CRITICAL ACCESS,OPEN,71,LAKE,41037,USA,42.1812946640001,-120.352111218,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,www.lakehealthdistrict.org,14-0896,NOT AVAILABLE,41,GOVERNMENT - DISTRICT/AUTHORITY,-999,71,LEVEL IV,Y
4325,-13557065.4223441,5198977.4424514,4463,5297601,SKY LAKES MEDICAL CENTER,2865 DAGGETT AVENUE,KLAMATH FALLS,OR,97601,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,98,KLAMATH,41035,USA,42.253160655,-121.785190767,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY,2014/03/12 00:00:00+00,www.skylakes.org,14-0724,NOT AVAILABLE,41,NON-PROFIT,-999,98,LEVEL III,Y
4331,-13147507.6158546,5671949.72260331,4469,1397850,GRANDE RONDE HOSPITAL,900 SUNSET DRIVE,LA GRANDE,OR,97850,NOT AVAILABLE,NOT AVAILABLE,CRITICAL ACCESS,OPEN,25,UNION,41061,USA,45.319427191,-118.106070394,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,www.grh.org,14-0728,NOT AVAILABLE,41,NON-PROFIT,-999,25,LEVEL IV,Y
4334,-13710628.6564766,5652910.60250816,4472,6897128,WILLAMETTE VALLEY MEDICAL CENTER,2700 SE STRATUS AVE,MCMINNVILLE,OR,97128,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,88,YAMHILL,41071,USA,45.1990382610001,-123.16467277,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY,2014/03/12 00:00:00+00,www.wvmcweb.com,14-1450,NOT AVAILABLE,41,PROPRIETARY,-999,88,LEVEL IV,Y
4335,-13720419.3006474,5559271.81153995,4473,1197330,GOOD SAMARITAN REGIONAL MEDICAL CENTER,3600 NW SAMARITAN DRIVE,CORVALLIS,OR,97330,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,164,BENTON,41003,USA,44.603222659,-123.252623623,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,http://www.samhealth.org/locations/goodsamaritanregionalmedicalcenter/pages/default.aspx,14-1074,NOT AVAILABLE,41,NON-PROFIT,-999,164,LEVEL II,Y
4439,-13673462.2210499,5208744.05742273,4578,132697504,ASANTE ROGUE REGIONAL MEDICAL CENTER,2825 E BARNETT ROAD,MEDFORD,OR,97504,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,378,JACKSON,41029,USA,42.318067,-122.830801,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2015/02/13 00:00:00+00,http://www.asante.org/,14-0451,NOT AVAILABLE,41,NOT AVAILABLE,-999,378,LEVEL II,Y
4441,-13678605.2650142,5706819.33104469,4580,133397124,KAISER FOUNDATION HOSPITAL - WESTSIDE,2875 NW STUCKI AVE,HILLSBORO,OR,97124,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,-999,WASHINGTON,41067,USA,45.5392542710001,-122.87700175,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2015/02/13 00:00:00+00,https://healthy.kaiserpermanente.org,14-1472,NOT AVAILABLE,41,NOT AVAILABLE,-999,-999,NOT AVAILABLE,N
5415,-13118681.7560949,5589329.71859454,5573,5497814,"SAINT ALPHONSUS MEDICAL CENTER - BAKER CITY, INC",3325 POCAHONTAS ROAD,BAKER CITY,OR,97814,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,65,BAKER,41001,USA,44.7951514470001,-117.84712329,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY,2014/03/12 00:00:00+00,http://www.saintalphonsus.org/bakercity,14-1469,NOT AVAILABLE,41,NON-PROFIT,-999,65,LEVEL IV,Y
5416,-13705246.5092667,5563721.09152223,5574,4597321,SAMARITAN ALBANY GENERAL HOSPITAL,1046 6TH AVENUE SW,ALBANY,OR,97321,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,73,LINN,41043,USA,44.631672768,-123.116324119,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,www.samhealth.org,14-1459,NOT AVAILABLE,41,NON-PROFIT,-999,73,LEVEL III,Y
5422,-13450185.9927081,5511679.14586867,5580,8297754,ST CHARLES PRINEVILLE,384 SE COMBS FLAT ROAD,PRINEVILLE,OR,97754,NOT AVAILABLE,(541) 447-6254,GENERAL ACUTE CARE,OPEN,-999,CROOK,41013,USA,44.2980280680001,-120.825076515,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2016/09/26 00:00:00+00,https://www.stcharleshealthcare.org/our-locations/prineville,14-1466,NOT AVAILABLE,41,NON-PROFIT,-999,-999,LEVEL IV,Y
5423,-13730462.2721513,5224310.29873508,5581,132997527,ASANTE THREE RIVERS MEDICAL CENTER,500 SW RAMSEY AVENUE,GRANTS PASS,OR,97527,NOT AVAILABLE,(541) 472-7000,GENERAL ACUTE CARE,OPEN,125,JOSEPHINE,41033,USA,42.421377884,-123.342841171,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2015/02/13 00:00:00+00,http://www.asante.org/,14-1439,NOT AVAILABLE,41,NOT AVAILABLE,-999,125,LEVEL IV,N
5765,-13661678.7649659,5191875.78601333,5928,297520,ASANTE ASHLAND COMMUNITY HOSPITAL,280 MAPLE STREET,ASHLAND,OR,97520,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,41,JACKSON,41029,USA,42.2059229340001,-122.724948413,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,www.ashlandhospital.org,14-1445,NOT AVAILABLE,41,NON-PROFIT,-999,41,LEVEL IV,N
5769,-13677015.4108447,5211990.15450906,5932,3497504,PROVIDENCE MEDFORD MEDICAL CENTER,1111 CRATER LAKE AVENUE,MEDFORD,OR,97504,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,126,JACKSON,41029,USA,42.3396248970001,-122.862719847,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,http://oregon.providence.org/patients/facilities/providence-medford-medical-center/pages/contactusindex.aspx,14-0734,NOT AVAILABLE,41,NON-PROFIT,-999,126,LEVEL III,Y
5773,-13829553.7761852,5370513.50850275,5937,397420,BAY AREA HOSPITAL,1775 THOMPSON ROAD,COOS BAY,OR,97420,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,172,COOS,41011,USA,43.3834065080001,-124.232995297,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY,2013/11/11 00:00:00+00,www.bayareahospital.org,14-1024,NOT AVAILABLE,41,GOVERNMENT - DISTRICT/AUTHORITY,-999,172,LEVEL III,Y
5774,-13823586.0173206,5339324.86407066,5938,897423,COQUILLE VALLEY HOSPITAL DISTRICT,940 EAST 5TH STREET,COQUILLE,OR,97423,NOT AVAILABLE,NOT AVAILABLE,CRITICAL ACCESS,OPEN,25,COOS,41011,USA,43.179442712,-124.179386007,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2013/11/11 00:00:00+00,www.cvhospital.org,14-0875,NOT AVAILABLE,41,GOVERNMENT - DISTRICT/AUTHORITY,-999,25,LEVEL IV,Y
5816,-13692708.1439521,5473722.64021191,5980,2397477,MCKENZIE-WILLAMETTE MEDICAL CENTER,1460 G STREET,SPRINGFIELD,OR,97477,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,113,LANE,41039,USA,44.053483682,-123.003690067,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,www.mckweb.com,14-0701,NOT AVAILABLE,41,PROPRIETARY,-999,113,LEVEL III,Y
5817,-13816694.4008587,5461286.77513252,5981,3097439,PEACE HARBOR MEDICAL CENTER,400 9TH STREET,FLORENCE,OR,97439,NOT AVAILABLE,NOT AVAILABLE,CRITICAL ACCESS,OPEN,21,LANE,41039,USA,43.9731419280001,-124.117477563,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.peacehealth.org/peace-harbor/pages/default.aspx,14-0711,NOT AVAILABLE,41,NON-PROFIT,-999,21,LEVEL IV,N
5818,-13701393.0330305,5472566.8483902,5982,4397401,SACRED HEART UNIVERSITY DISTRICT,1255 HILYARD STREET,EUGENE,OR,97401,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,-999,LANE,41039,USA,44.046021291,-123.081707753,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.peacehealth.org/sacred-heart-university-district/pages/default.aspx,14-1467,NOT AVAILABLE,41,NON-PROFIT,-999,-999,LEVEL II,Y
5922,-13643368.6878797,5689681.57046656,6087,1597015,KAISER SUNNYSIDE MEDICAL CENTER,10180 SE SUNNYSIDE ROAD,CLACKAMAS,OR,97015,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,269,CLACKAMAS,41005,USA,45.431320359,-122.560466192,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,https://healthy.kaiserpermanente.org,14-1073,NOT AVAILABLE,41,NON-PROFIT,-999,269,NOT AVAILABLE,N
5923,-13650837.859916,5692544.63511175,6088,3597222,PROVIDENCE MILWAUKIE HOSPITAL,10150 SE 32ND AVENUE,MILWAUKIE,OR,97222,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,63,CLACKAMAS,41005,USA,45.449366378,-122.627562906,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://oregon.providence.org/patients/facilities/providence-milwaukie-hospital/pages/default.aspx,14-1430,NOT AVAILABLE,41,NON-PROFIT,-999,63,NOT AVAILABLE,N
5925,-13793828.3874855,5778589.04374335,6090,3897138,PROVIDENCE SEASIDE HOSPITAL,725 S WAHANNA ROAD,SEASIDE,OR,97138,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,47,CLATSOP,41007,USA,45.989015017,-123.91206867,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.providence.org,14-1231,NOT AVAILABLE,41,NON-PROFIT,-999,47,NOT AVAILABLE,Y
5931,-13487972.620744,5714454.0990868,6096,2597015,MID-COLUMBIA MEDICAL CENTER,1700 E 19TH STREET,THE DALLES,OR,97058,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,49,WASCO,41065,USA,45.5872715880001,-121.16451957,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,www.mcmc.net,14-0500,NOT AVAILABLE,41,NON-PROFIT,-999,49,LEVEL III,Y
5934,-13655586.6273871,5707460.10740896,6099,1797227,LEGACY EMANUEL MEDICAL CENTER,2801 N GANTENBEIN AVENUE,PORTLAND,OR,97227,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,407,MULTNOMAH,41051,USA,45.543285881,-122.67022181,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,www.legacyhealth.org,14-0056,NOT AVAILABLE,41,NON-PROFIT,-999,407,LEVEL I,Y
5935,-13626283.699378,5703248.81141782,6100,2097030,LEGACY MOUNT HOOD MEDICAL CENTER,24800 SE STARK STREET,GRESHAM,OR,97030,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,111,MULTNOMAH,41051,USA,45.5167841310001,-122.406989129,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY,2014/03/12 00:00:00+00,www.legacyhealth.org,14-1337,NOT AVAILABLE,41,NON-PROFIT,-999,111,NOT AVAILABLE,Y
5937,-13657339.8371208,5700415.38466318,6102,2797223,OHSU HOSPITAL AND CLINICS,3181 SW SAM JACKSON PARK ROAD,PORTLAND,OR,97239,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,522,MULTNOMAH,41051,USA,45.4989463060001,-122.685971161,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,http://www.ohsu.edu,14-1008,NOT AVAILABLE,41,GOVERNMENT - DISTRICT/AUTHORITY,-999,522,LEVEL I,Y
5939,-13281362.8573558,5755883.68633983,6104,1297838,GOOD SHEPHERD MEDICAL CENTER,610 NW 11TH STREET,HERMISTON,OR,97838,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,425,UMATILLA,41059,USA,45.847118987,-119.308512487,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY,2014/03/12 00:00:00+00,http://www.gsmc.org/,14-0334,NOT AVAILABLE,41,NOT AVAILABLE,-999,425,LEVEL III,Y
5942,-13685163.7171569,5670196.09672693,6107,3697132,PROVIDENCE NEWBERG MEDICAL CENTER,1001 PROVIDENCE DRIVE,NEWBERG,OR,97132,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,40,YAMHILL,41071,USA,45.3083492660001,-122.935917328,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY,2014/03/12 00:00:00+00,http://oregon.providence.org/patients/facilities/providence-newberg-medical-center/pages/default.aspx,14-1438,NOT AVAILABLE,41,NON-PROFIT,-999,40,NOT AVAILABLE,Y
5948,-13803080.4193133,5619327.3327144,6113,4797367,SAMARITAN NORTH LINCOLN HOSPITAL,3043 NE 28TH STREET,LINCOLN CITY,OR,97367,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,25,LINCOLN,41041,USA,44.9860609360001,-123.995181086,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://public.health.oregon.gov/providerpartnerresources/healthcareprovidersfacilities/healthcarehealthcareregulationqualityimprovement/pages/forms.aspx#hospital,2020/08/09 00:00:00+00,IMAGERY,2014/03/12 00:00:00+00,www.samhealth.org,14-1456,NOT AVAILABLE,41,NON-PROFIT,-999,25,LEVEL IV,Y
